model,calibration,aggregation,threshold,segment_ece_before,segment_ece_after,segment_brier_before,segment_brier_after,val_accuracy,val_sensitivity,val_specificity,val_precision,val_f1,val_auroc,val_auprc,val_tp,val_fp,val_tn,val_fn,test_accuracy,test_sensitivity,test_specificity,test_precision,test_f1,test_auroc,test_auprc,test_tp,test_fp,test_tn,test_fn,temperature
gated,isotonic,max,0.8290000000000001,0.07577760152880066,0.042536016025576565,0.05101963800192908,0.040061619663625286,0.9686520376175548,0.8859060402684564,0.9839108910891089,0.9103448275862069,0.8979591836734694,0.9745502654292274,0.9274062741874173,396,39,2385,51,0.9286926994906621,0.8255813953488372,0.9440711034034251,0.6876513317191283,0.750330250990753,0.9049216004819545,0.6768562330594,568,258,4355,120,
qa_beatformer,isotonic,mean,0.428,0.16436698001630048,0.044506512136865586,0.07510956926466102,0.04130887983465422,0.9794496691048415,0.8993288590604027,0.9942244224422442,0.9663461538461539,0.9316338354577057,0.9809967993443639,0.9484751168826405,402,14,2410,45,0.9456706281833617,0.8575581395348837,0.9588120528939952,0.7564102564102564,0.8038147138964578,0.9452180138032558,0.8236213342626598,590,190,4423,98,
qa_beatformer,isotonic,sqi_weighted_mean,0.43,0.16436698001630048,0.044506512136865586,0.07510956926466102,0.04130887983465422,0.9794496691048415,0.8993288590604027,0.9942244224422442,0.9663461538461539,0.9316338354577057,0.9809981837109886,0.9492637702529277,402,14,2410,45,0.9452933408790795,0.8561046511627907,0.9585952742250162,0.7551282051282051,0.8024523160762943,0.9451786281439207,0.8207196100890448,589,191,4422,99,
qa_beatformer,beta_logistic,mean,0.436,0.16436698001630048,0.04464973454228297,0.07510956926466102,0.041453751984380824,0.9794496691048415,0.8993288590604027,0.9942244224422442,0.9663461538461539,0.9316338354577057,0.9810231023102312,0.9512053834843917,402,14,2410,45,0.9441614789662328,0.8561046511627907,0.9572946022111424,0.7493638676844784,0.7991858887381276,0.9441142700860561,0.8213148056469904,589,197,4416,99,
qa_beatformer,beta_logistic,sqi_weighted_mean,0.437,0.16436698001630048,0.04464973454228297,0.07510956926466102,0.041453751984380824,0.9794496691048415,0.8993288590604027,0.9942244224422442,0.9663461538461539,0.9316338354577057,0.9810341772432277,0.9512693568431463,402,14,2410,45,0.9439728353140917,0.8561046511627907,0.9570778235421634,0.7484116899618806,0.7986440677966101,0.9441092287216611,0.8212375909950603,589,198,4415,99,
qa_beatformer,isotonic,trimmed_mean,0.427,0.16436698001630048,0.044506512136865586,0.07510956926466102,0.04130887983465422,0.9794496691048415,0.8970917225950783,0.9946369636963697,0.9685990338164251,0.9314750290360047,0.9784578709548808,0.9469381543542771,401,13,2411,46,0.9449160535747972,0.8561046511627907,0.9581617168870583,0.7531969309462916,0.8013605442176871,0.9466329042292005,0.8188756361597098,589,193,4420,99,
qa_beatformer,platt,mean,0.513,0.16436698001630048,0.044695252852275505,0.07510956926466102,0.041733148235280106,0.9794496691048415,0.8948545861297539,0.995049504950495,0.970873786407767,0.9313154831199069,0.980989877511241,0.9516997448306088,400,12,2412,47,0.9485002829654782,0.8531976744186046,0.9627140689356167,0.7733860342555995,0.8113337940566689,0.9444611789734775,0.8217890829564513,587,172,4441,101,
qa_beatformer,platt,trimmed_mean,0.455,0.16436698001630048,0.044695252852275505,0.07510956926466102,0.041733148235280106,0.9791013584117032,0.901565995525727,0.9933993399339934,0.9618138424821002,0.930715935334873,0.9789843917277635,0.9502353730703325,403,16,2408,44,0.9439728353140917,0.8590116279069767,0.9566442662042055,0.7471554993678887,0.7991886409736308,0.9458822135622784,0.8204494412248274,591,200,4413,97,
qa_beatformer,platt,sqi_weighted_mean,0.461,0.16436698001630048,0.044695252852275505,0.07510956926466102,0.041733148235280106,0.9791013584117032,0.901565995525727,0.9933993399339934,0.9618138424821002,0.930715935334873,0.9809612672676663,0.9516671946886047,403,16,2408,44,0.9443501226183739,0.8590116279069767,0.9570778235421634,0.7490494296577946,0.8002708192281652,0.944461494058752,0.821777312237012,591,198,4415,97,
qa_beatformer,beta_logistic,trimmed_mean,0.419,0.16436698001630048,0.04464973454228297,0.07510956926466102,0.041453751984380824,0.9791013584117032,0.8970917225950783,0.9942244224422442,0.9662650602409638,0.9303944315545244,0.9790037728605075,0.9501248636031961,401,14,2410,46,0.9434069043576684,0.8561046511627907,0.9564274875352266,0.7455696202531645,0.79702300405954,0.9460384958585192,0.8206819641835909,589,201,4412,99,
qa_beatformer,none,mean,0.6990000000000001,0.16436698001630048,0.16436698001630048,0.07510956926466102,0.07510956926466102,0.978753047718565,0.8926174496644296,0.9946369636963697,0.9684466019417476,0.9289871944121071,0.9798150117025124,0.9503158403900983,399,13,2411,48,0.9483116393133371,0.8561046511627907,0.9620637329286799,0.7709424083769634,0.8112947658402204,0.9466818999894131,0.8241086970367477,589,175,4438,99,
qa_beatformer,none,sqi_weighted_mean,0.6990000000000001,0.16436698001630048,0.16436698001630048,0.07510956926466102,0.07510956926466102,0.978753047718565,0.8926174496644296,0.9946369636963697,0.9684466019417476,0.9289871944121071,0.9797457933712833,0.9502673603527043,399,13,2411,48,0.9483116393133371,0.8561046511627907,0.9620637329286799,0.7709424083769634,0.8112947658402204,0.946680954733589,0.8240575840688512,589,175,4438,99,
qa_beatformer,none,trimmed_mean,0.6970000000000001,0.16436698001630048,0.16436698001630048,0.07510956926466102,0.07510956926466102,0.9784047370254266,0.8948545861297539,0.9938118811881188,0.963855421686747,0.9280742459396751,0.9778879733610945,0.9492676074889207,400,15,2409,47,0.9469911337483494,0.8575581395348837,0.960329503576848,0.7632600258732212,0.8076659822039699,0.9464912733982325,0.8208685008633091,590,183,4430,98,
qa_beatformer,temperature,sqi_weighted_mean,0.773,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9784047370254266,0.8926174496644296,0.9942244224422442,0.9661016949152542,0.9279069767441861,0.9806004090341921,0.9508997964166598,399,14,2410,48,0.9460479154876439,0.8561046511627907,0.9594623889009322,0.759020618556701,0.8046448087431693,0.9450576353984441,0.8238060345540141,589,187,4426,99,0.4721616202323266
qa_beatformer,temperature,mean,0.805,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9784047370254266,0.8859060402684564,0.9954620462046204,0.972972972972973,0.927400468384075,0.9806050235896072,0.9508563218787343,396,11,2413,51,0.9479343520090548,0.8502906976744186,0.9624972902666378,0.7717678100263852,0.8091286307053942,0.9450636220186632,0.823868857769486,585,173,4440,103,0.4721616202323266
qa_beatformer,temperature,trimmed_mean,0.8320000000000001,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9777081156391502,0.8903803131991052,0.9938118811881188,0.9636803874092009,0.9255813953488372,0.9789013297302885,0.9502519894371374,398,15,2409,49,0.9486889266176193,0.8531976744186046,0.9629308476045957,0.7744063324538258,0.8118948824343015,0.9458289641508579,0.8208846523284212,587,171,4442,101,0.4721616202323266
qa_beatformer,platt,top10,0.5128603756092475,0.16436698001630048,0.044695252852275505,0.07510956926466102,0.041733148235280106,0.9770114942528736,0.901565995525727,0.990924092409241,0.9482352941176471,0.9243119266055045,0.9801121890712562,0.942704104340032,403,22,2402,44,0.9401999622712696,0.8546511627906976,0.952959028831563,0.7304347826086957,0.7876758204956463,0.9364611638493843,0.7799381309257393,588,217,4396,100,
qa_beatformer,isotonic,top10,0.513,0.16436698001630048,0.044506512136865586,0.07510956926466102,0.04130887983465422,0.9770114942528736,0.8948545861297539,0.9921617161716172,0.954653937947494,0.9237875288683602,0.979797937847476,0.9417176259323107,400,19,2405,47,0.9435955480098095,0.8531976744186046,0.9570778235421634,0.7477707006369426,0.7970128988458928,0.9363857009260987,0.7791761083851103,587,198,4415,101,
qa_beatformer,beta_logistic,top5_quality_filter,0.5690000000000001,0.16436698001630048,0.04464973454228297,0.07510956926466102,0.041453751984380824,0.9770114942528736,0.8948545861297539,0.9921617161716172,0.954653937947494,0.9237875288683602,0.9724861747919757,0.939042144697527,400,19,2405,47,0.9411431805319751,0.8401162790697675,0.9562107088662476,0.7410256410256411,0.7874659400544959,0.9374971642325278,0.7794552429657047,578,202,4411,110,
qa_beatformer,temperature,top5_quality_filter,0.898,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9770114942528736,0.8903803131991052,0.9929867986798679,0.9590361445783132,0.9234338747099768,0.9722739052428733,0.9389316629631198,398,17,2407,49,0.940954536879834,0.8401162790697675,0.9559939301972686,0.7400768245838668,0.786929884275017,0.9378201266390737,0.780061879753676,578,203,4410,110,0.4721616202323266
qa_beatformer,beta_logistic,top10,0.47900000000000004,0.16436698001630048,0.04464973454228297,0.07510956926466102,0.041453751984380824,0.9766631835597352,0.8993288590604027,0.990924092409241,0.9481132075471698,0.9230769230769231,0.9800466623843591,0.9420390955367579,402,22,2402,45,0.9403886059234107,0.8531976744186046,0.9533925861695209,0.7319201995012469,0.7879194630872484,0.9358792013470525,0.7780890061062526,587,215,4398,101,
qa_beatformer,isotonic,top5_quality_filter,0.528,0.16436698001630048,0.044506512136865586,0.07510956926466102,0.04130887983465422,0.9766631835597352,0.8970917225950783,0.9913366336633663,0.9502369668246445,0.9228998849252014,0.9719255063090202,0.9385609570458494,401,21,2403,46,0.9398226749669873,0.8488372093023255,0.9533925861695209,0.7309136420525657,0.7854741089441829,0.937499054744176,0.7819013352858871,584,215,4398,104,
qa_beatformer,platt,top5_quality_filter,0.585,0.16436698001630048,0.044695252852275505,0.07510956926466102,0.041733148235280106,0.9766631835597352,0.8926174496644296,0.9921617161716172,0.9545454545454546,0.922543352601156,0.9724141877274977,0.9391101303821857,399,19,2405,48,0.9401999622712696,0.8415697674418605,0.9549100368523737,0.735705209656925,0.7850847457627118,0.9376840098004124,0.7798653242738898,579,208,4405,109,
qa_beatformer,none,top5_quality_filter,0.747,0.16436698001630048,0.16436698001630048,0.07510956926466102,0.07510956926466102,0.9766631835597352,0.8903803131991052,0.9925742574257426,0.9567307692307693,0.9223638470451911,0.9725397036347929,0.9388624424954676,398,18,2406,49,0.9396340313148462,0.8430232558139535,0.9540429221764578,0.7323232323232324,0.7837837837837838,0.9382259564728599,0.7809608342526361,580,212,4401,108,
qa_beatformer,none,top10,0.71,0.16436698001630048,0.16436698001630048,0.07510956926466102,0.07510956926466102,0.9759665621734587,0.8948545861297539,0.990924092409241,0.9478672985781991,0.9205983889528193,0.9793064876957495,0.941521258215718,400,22,2402,47,0.9405772495755518,0.8546511627906976,0.9533925861695209,0.7322540473225405,0.7887323943661971,0.9375463175353778,0.7818316367215056,588,215,4398,100,
qa_beatformer,temperature,top10,0.864,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9756182514803204,0.8903803131991052,0.9913366336633663,0.9498806682577565,0.9191685912240185,0.9796987249060477,0.9413627030082895,398,21,2403,49,0.9415204678362573,0.8444767441860465,0.9559939301972686,0.7410714285714286,0.7894021739130435,0.9366539960374876,0.7786513824462854,581,203,4410,107,0.4721616202323266
qa_beatformer,temperature,top5,0.924,0.16436698001630048,0.09441244732919052,0.07510956926466102,0.07014766234904518,0.9731800766283525,0.8903803131991052,0.9884488448844885,0.9342723004694836,0.9117983963344788,0.9795833610206658,0.9422579166736612,398,28,2396,49,0.9383135257498585,0.8343023255813954,0.9538261435074789,0.7293519695044473,0.7783050847457628,0.9318158616447956,0.766435040978091,574,213,4400,114,0.4721616202323266
